season,match_no,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2012/13,20th,Barisal Burners,182/5,Chittagong Kings,176/6,Azhar Mahmood,Barisal Burners,bat first,Barisal,"MA Aziz Stadium, Chittagong",Chittagong,Jan 31 2013,0,6,6 runs,Anisur Rahman,Tanvir Ahmed
2012/13,21st,Dhaka Gladiators,137/5,Duronto Rajshahi,124/9,Alfonso Thomas,Dhaka Gladiators,bat first,Dhaka,"MA Aziz Stadium, Chittagong",Chittagong, Feb 1 2013,0,13,13 runs,Gazi Sohel,Jeremy Lloyds
2012/13,18th,Rangpur Riders,122,Khulna Royal Bengals,89,Fidel Edwards,Rangpur Riders,bat first,Riders,"MA Aziz Stadium, Chittagong",Chittagong,Jan 29 2013,0,33,33 runs,Anisur Rahman,Mahfuzur Rahman
2012/13,23rd,Barisal Burners,152/6,Duronto Rajshahi,153/6,Jahurul Islam,Barisal Burners,bat first,Rajshahi,"MA Aziz Stadium, Chittagong",Chittagong, Feb 2 2013,4,0,4 wickets,Gazi Sohel,Jeremy Lloyds
2012/13,22nd,Khulna Royal Bengals,136/5,Chittagong Kings,137/2,Brendan Taylor,Chittagong Kings,field first,Chittagong,"MA Aziz Stadium, Chittagong",Chittagong, Feb 1 2013,8,0,8 wickets,Mahfuzur Rahman,Masudur Rahman
2012/13,25th,Rangpur Riders,163/3,Duronto Rajshahi,168/3,Tamim Iqbal,Rangpur Riders,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2013,7,0,7 wickets,Enamul Haque,Richard Illingworth
2012/13,26th,Khulna Royal Bengals,145/7,Barisal Burners,148/3,Azhar Mahmood,Barisal Burners,field first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 4 2013,7,0,7 wickets,Gazi Sohel,Jeremy Lloyds
2012/13,24th,Chittagong Kings,142,Dhaka Gladiators,88/8,Naeem Islam,Dhaka Gladiators,field first,Chittagong,"MA Aziz Stadium, Chittagong",Chittagong, Feb 2 2013,0,54,54 runs,Mahfuzur Rahman,Masudur Rahman
2012/13,27th,Sylhet Royals,147/8,Duronto Rajshahi,152/5,Jahurul Islam,Duronto Rajshahi,field first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 5 2013,5,0,5 wickets,Enamul Haque,Masudur Rahman
2012/13,29th,Chittagong Kings,156/5,Khulna Royal Bengals,67,Ryan ten Doeschate,Khulna Royal Bengals,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 7 2013,0,89,89 runs,Jeremy Lloyds,Masudur Rahman
2012/13,28th,Dhaka Gladiators,217/4,Rangpur Riders,129,Anamul Haque,Rangpur Riders,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 5 2013,0,88,88 runs,Enamul Haque,Tanvir Ahmed
2012/13,32nd,Chittagong Kings,193/4,Sylhet Royals,74,Brendan Taylor,Sylhet Royals,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 8 2013,0,119,119 runs,Gazi Sohel,Richard Illingworth
2012/13,30th,Rangpur Riders,197/4,Sylhet Royals,198/4,Shamsur Rahman,Sylhet Royals,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur, Feb 7 2013,6,0,6 wickets,Enamul Haque,Richard Illingworth
